unix,date,symbol,open,high,low,close,Volume BTG,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,BTG/BTC,0.00052600,0.00052600,0.00052400,0.00052600,55.49000000,0.02910866,46
1616025600000,2021-03-18 00:00:00,BTG/BTC,0.00053100,0.00053900,0.00051700,0.00052800,45365.34000000,23.90154088,10586
1615939200000,2021-03-17 00:00:00,BTG/BTC,0.00053400,0.00054300,0.00052600,0.00053300,44710.57000000,23.86681705,10967
1615852800000,2021-03-16 00:00:00,BTG/BTC,0.00053800,0.00055300,0.00052700,0.00053600,74538.63000000,40.16110477,9111
1615766400000,2021-03-15 00:00:00,BTG/BTC,0.00055300,0.00055400,0.00051800,0.00053600,88347.36000000,47.28330864,10887
1615680000000,2021-03-14 00:00:00,BTG/BTC,0.00058200,0.00058900,0.00054700,0.00055300,52137.22000000,29.32421988,7852
1615593600000,2021-03-13 00:00:00,BTG/BTC,0.00056200,0.00060700,0.00054000,0.00058400,122875.03000000,71.02234218,16092
1615507200000,2021-03-12 00:00:00,BTG/BTC,0.00058600,0.00062000,0.00056100,0.00056200,106251.08000000,62.88263802,15170
1615420800000,2021-03-11 00:00:00,BTG/BTC,0.00062400,0.00062500,0.00058300,0.00058500,142077.12000000,85.23154585,18636
1615334400000,2021-03-10 00:00:00,BTG/BTC,0.00056500,0.00063200,0.00054400,0.00062300,183442.72000000,106.95158945,27231
1615248000000,2021-03-09 00:00:00,BTG/BTC,0.00056400,0.00059000,0.00054600,0.00056600,125528.16000000,70.49197387,13112
1615161600000,2021-03-08 00:00:00,BTG/BTC,0.00056700,0.00060000,0.00055200,0.00056300,148884.27000000,85.58892561,16494
1615075200000,2021-03-07 00:00:00,BTG/BTC,0.00056900,0.00059500,0.00056200,0.00056700,78546.73000000,45.21504956,11118
1614988800000,2021-03-06 00:00:00,BTG/BTC,0.00056100,0.00059900,0.00056000,0.00056700,77236.58000000,44.50826059,10201
1614902400000,2021-03-05 00:00:00,BTG/BTC,0.00056500,0.00059900,0.00055300,0.00056200,76752.73000000,43.82650979,10250
1614816000000,2021-03-04 00:00:00,BTG/BTC,0.00055500,0.00058100,0.00054000,0.00056500,88762.53000000,49.97662954,9410
1614729600000,2021-03-03 00:00:00,BTG/BTC,0.00054600,0.00059200,0.00052900,0.00055300,104736.31000000,57.75785259,10095
1614643200000,2021-03-02 00:00:00,BTG/BTC,0.00053300,0.00057200,0.00052600,0.00054700,76371.32000000,42.03455769,8910
1614556800000,2021-03-01 00:00:00,BTG/BTC,0.00052900,0.00057200,0.00052400,0.00053100,72885.92000000,39.13282679,8149
1614470400000,2021-02-28 00:00:00,BTG/BTC,0.00056200,0.00056300,0.00051000,0.00053000,70525.76000000,37.63690619,9590
1614384000000,2021-02-27 00:00:00,BTG/BTC,0.00055600,0.00058200,0.00055100,0.00056000,51563.82000000,29.06780258,10792
1614297600000,2021-02-26 00:00:00,BTG/BTC,0.00055900,0.00059500,0.00053300,0.00055600,122297.17000000,68.48207698,12881
1614211200000,2021-02-25 00:00:00,BTG/BTC,0.00055600,0.00059900,0.00053900,0.00056100,135918.56000000,76.45817694,18414
1614124800000,2021-02-24 00:00:00,BTG/BTC,0.00054600,0.00061100,0.00054100,0.00055400,157720.07000000,90.29451660,17133
