unix,date,symbol,open,high,low,close,Volume AST,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,AST/BTC,0.00000658,0.00000662,0.00000656,0.00000662,2698.00000000,0.01774056,25
1616108400000,2021-03-18 23:00:00,AST/BTC,0.00000661,0.00000665,0.00000651,0.00000655,181640.00000000,1.19285872,415
1616104800000,2021-03-18 22:00:00,AST/BTC,0.00000669,0.00000677,0.00000659,0.00000663,231434.00000000,1.54273958,623
1616101200000,2021-03-18 21:00:00,AST/BTC,0.00000666,0.00000691,0.00000663,0.00000669,358679.00000000,2.42305065,898
1616097600000,2021-03-18 20:00:00,AST/BTC,0.00000664,0.00000688,0.00000660,0.00000666,339786.00000000,2.27489107,913
1616094000000,2021-03-18 19:00:00,AST/BTC,0.00000690,0.00000698,0.00000654,0.00000663,554870.00000000,3.77436431,1314
1616090400000,2021-03-18 18:00:00,AST/BTC,0.00000670,0.00000694,0.00000659,0.00000690,368335.00000000,2.48361413,870
1616086800000,2021-03-18 17:00:00,AST/BTC,0.00000668,0.00000685,0.00000652,0.00000670,696093.00000000,4.64303195,1273
1616083200000,2021-03-18 16:00:00,AST/BTC,0.00000686,0.00000698,0.00000643,0.00000669,1033996.00000000,6.85447550,1761
1616079600000,2021-03-18 15:00:00,AST/BTC,0.00000640,0.00000700,0.00000637,0.00000690,2123303.00000000,14.37768063,4055
1616076000000,2021-03-18 14:00:00,AST/BTC,0.00000618,0.00000642,0.00000611,0.00000640,377847.00000000,2.37608505,979
1616072400000,2021-03-18 13:00:00,AST/BTC,0.00000619,0.00000629,0.00000610,0.00000618,339078.00000000,2.10914365,857
1616068800000,2021-03-18 12:00:00,AST/BTC,0.00000606,0.00000622,0.00000605,0.00000619,373346.00000000,2.28302635,826
1616065200000,2021-03-18 11:00:00,AST/BTC,0.00000606,0.00000616,0.00000590,0.00000606,533749.00000000,3.22121754,967
1616061600000,2021-03-18 10:00:00,AST/BTC,0.00000606,0.00000616,0.00000600,0.00000604,328263.00000000,1.99173754,880
1616058000000,2021-03-18 09:00:00,AST/BTC,0.00000605,0.00000614,0.00000600,0.00000604,231661.00000000,1.41072595,775
1616054400000,2021-03-18 08:00:00,AST/BTC,0.00000590,0.00000617,0.00000589,0.00000607,471195.00000000,2.85500210,933
1616050800000,2021-03-18 07:00:00,AST/BTC,0.00000600,0.00000607,0.00000589,0.00000589,359081.00000000,2.14414669,606
1616047200000,2021-03-18 06:00:00,AST/BTC,0.00000604,0.00000614,0.00000593,0.00000600,345779.00000000,2.07868965,626
1616043600000,2021-03-18 05:00:00,AST/BTC,0.00000616,0.00000620,0.00000602,0.00000605,94896.00000000,0.57787762,333
1616040000000,2021-03-18 04:00:00,AST/BTC,0.00000614,0.00000626,0.00000610,0.00000613,107547.00000000,0.66359425,455
1616036400000,2021-03-18 03:00:00,AST/BTC,0.00000628,0.00000628,0.00000604,0.00000614,230603.00000000,1.41740303,569
1616032800000,2021-03-18 02:00:00,AST/BTC,0.00000626,0.00000632,0.00000605,0.00000628,398084.00000000,2.44887341,586
