https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume AST,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,AST/BTC,0.00000658,0.00000662,0.00000656,0.00000662,3158.00000000,0.02078576,27
1616025600000,2021-03-18 00:00:00,AST/BTC,0.00000636,0.00000700,0.00000589,0.00000655,11288603.00000000,72.85344013,23679
1615939200000,2021-03-17 00:00:00,AST/BTC,0.00000563,0.00000751,0.00000555,0.00000637,44320055.00000000,291.91209457,62594
1615852800000,2021-03-16 00:00:00,AST/BTC,0.00000486,0.00000564,0.00000471,0.00000561,9177063.00000000,47.67524837,13770
1615766400000,2021-03-15 00:00:00,AST/BTC,0.00000475,0.00000492,0.00000440,0.00000486,7966817.00000000,37.11889330,11512
1615680000000,2021-03-14 00:00:00,AST/BTC,0.00000494,0.00000494,0.00000459,0.00000471,4821056.00000000,23.04608625,8940
1615593600000,2021-03-13 00:00:00,AST/BTC,0.00000568,0.00000575,0.00000481,0.00000494,8566099.00000000,44.61064199,15588
1615507200000,2021-03-12 00:00:00,AST/BTC,0.00000482,0.00000580,0.00000480,0.00000565,13774916.00000000,72.63620755,22760
1615420800000,2021-03-11 00:00:00,AST/BTC,0.00000440,0.00000521,0.00000429,0.00000480,10612469.00000000,51.39389052,17312
1615334400000,2021-03-10 00:00:00,AST/BTC,0.00000471,0.00000474,0.00000435,0.00000438,5926152.00000000,26.97603060,8313
1615248000000,2021-03-09 00:00:00,AST/BTC,0.00000438,0.00000476,0.00000420,0.00000470,6453981.00000000,28.91163570,8838
1615161600000,2021-03-08 00:00:00,AST/BTC,0.00000469,0.00000472,0.00000430,0.00000439,4019386.00000000,18.13139234,5089
1615075200000,2021-03-07 00:00:00,AST/BTC,0.00000471,0.00000493,0.00000453,0.00000469,3445823.00000000,16.23504266,5265
1614988800000,2021-03-06 00:00:00,AST/BTC,0.00000467,0.00000499,0.00000455,0.00000472,6842394.00000000,32.82075628,8958
1614902400000,2021-03-05 00:00:00,AST/BTC,0.00000444,0.00000473,0.00000429,0.00000467,3549576.00000000,15.73281145,4485
1614816000000,2021-03-04 00:00:00,AST/BTC,0.00000429,0.00000483,0.00000420,0.00000443,8351756.00000000,37.26896822,9949
1614729600000,2021-03-03 00:00:00,AST/BTC,0.00000419,0.00000433,0.00000408,0.00000429,3688695.00000000,15.54555067,4559
1614643200000,2021-03-02 00:00:00,AST/BTC,0.00000411,0.00000438,0.00000403,0.00000418,3791014.00000000,15.88771004,5065
1614556800000,2021-03-01 00:00:00,AST/BTC,0.00000438,0.00000448,0.00000400,0.00000410,4243000.00000000,18.05716619,5358
1614470400000,2021-02-28 00:00:00,AST/BTC,0.00000462,0.00000473,0.00000409,0.00000436,6937566.00000000,30.45001199,8611
1614384000000,2021-02-27 00:00:00,AST/BTC,0.00000493,0.00000550,0.00000458,0.00000462,28121182.00000000,143.83305057,33999
1614297600000,2021-02-26 00:00:00,AST/BTC,0.00000402,0.00000538,0.00000379,0.00000493,23896627.00000000,114.24701855,24265
1614211200000,2021-02-25 00:00:00,AST/BTC,0.00000425,0.00000434,0.00000401,0.00000403,4675658.00000000,19.57457608,4135
1614124800000,2021-02-24 00:00:00,AST/BTC,0.00000397,0.00000441,0.00000387,0.00000422,4712875.00000000,19.81933055,5573
1614038400000,2021-02-23 00:00:00,AST/BTC,0.00000453,0.00000461,0.00000357,0.00000395,8820401.00000000,35.72515001,10370
1613952000000,2021-02-22 00:00:00,AST/BTC,0.00000497,0.00000508,0.00000393,0.00000455,15208734.00000000,66.51319744,13412
1613865600000,2021-02-21 00:00:00,AST/BTC,0.00000514,0.00000533,0.00000482,0.00000497,4693811.00000000,23.91962946,7562
1613779200000,2021-02-20 00:00:00,AST/BTC,0.00000536,0.00000600,0.00000501,0.00000515,5412397.00000000,29.64776765,8830
1613692800000,2021-02-19 00:00:00,AST/BTC,0.00000614,0.00000622,0.00000528,0.00000536,6926459.00000000,39.58940274,10743
1613606400000,2021-02-18 00:00:00,AST/BTC,0.00000504,0.00000665,0.00000495,0.00000614,12824800.00000000,74.88611751,17864
1613520000000,2021-02-17 00:00:00,AST/BTC,0.00000528,0.00000531,0.00000470,0.00000504,6517806.00000000,32.46730993,9962
1613433600000,2021-02-16 00:00:00,AST/BTC,0.00000562,0.00000604,0.00000516,0.00000526,5601243.00000000,31.08270946,8784
1613347200000,2021-02-15 00:00:00,AST/BTC,0.00000612,0.00000624,0.00000534,0.00000562,7186813.00000000,41.73692774,10598
1613260800000,2021-02-14 00:00:00,AST/BTC,0.00000686,0.00000695,0.00000603,0.00000612,8294200.00000000,53.06534627,11381
1613174400000,2021-02-13 00:00:00,AST/BTC,0.00000734,0.00000787,0.00000635,0.00000686,12294624.00000000,86.28819117,15139
1613088000000,2021-02-12 00:00:00,AST/BTC,0.00000562,0.00000750,0.00000552,0.00000734,9742200.00000000,64.45734502,15033
1613001600000,2021-02-11 00:00:00,AST/BTC,0.00000587,0.00000680,0.00000558,0.00000562,14483025.00000000,88.09503381,17433
1612915200000,2021-02-10 00:00:00,AST/BTC,0.00000499,0.00000605,0.00000463,0.00000587,17260283.00000000,89.51968016,18934
1612828800000,2021-02-09 00:00:00,AST/BTC,0.00000454,0.00000550,0.00000411,0.00000499,16750530.00000000,77.20715669,14519
1612742400000,2021-02-08 00:00:00,AST/BTC,0.00000534,0.00000585,0.00000451,0.00000456,14742468.00000000,74.73855779,12330
1612656000000,2021-02-07 00:00:00,AST/BTC,0.00000560,0.00000614,0.00000501,0.00000534,14008795.00000000,77.01245849,15385
1612569600000,2021-02-06 00:00:00,AST/BTC,0.00000500,0.00000687,0.00000483,0.00000560,46065477.00000000,261.70469635,40860
1612483200000,2021-02-05 00:00:00,AST/BTC,0.00000384,0.00000689,0.00000376,0.00000499,58620727.00000000,309.74773259,45797
1612396800000,2021-02-04 00:00:00,AST/BTC,0.00000361,0.00000390,0.00000341,0.00000384,8424110.00000000,30.66250751,5719
1612310400000,2021-02-03 00:00:00,AST/BTC,0.00000395,0.00000396,0.00000356,0.00000361,7048861.00000000,25.99553864,4643
1612224000000,2021-02-02 00:00:00,AST/BTC,0.00000405,0.00000409,0.00000364,0.00000392,6398291.00000000,24.42859073,4543
1612137600000,2021-02-01 00:00:00,AST/BTC,0.00000407,0.00000412,0.00000365,0.00000407,7101325.00000000,27.38426079,5267
1612051200000,2021-01-31 00:00:00,AST/BTC,0.00000392,0.00000436,0.00000387,0.00000407,9799173.00000000,40.40125099,8465
1611964800000,2021-01-30 00:00:00,AST/BTC,0.00000403,0.00000403,0.00000365,0.00000392,5363392.00000000,20.43838320,5337
1611878400000,2021-01-29 00:00:00,AST/BTC,0.00000404,0.00000419,0.00000318,0.00000403,15907974.00000000,58.61861977,11377
1611792000000,2021-01-28 00:00:00,AST/BTC,0.00000440,0.00000469,0.00000396,0.00000404,6515561.00000000,28.53592558,4735
1611705600000,2021-01-27 00:00:00,AST/BTC,0.00000496,0.00000497,0.00000430,0.00000439,8364739.00000000,38.51373662,5256
1611619200000,2021-01-26 00:00:00,AST/BTC,0.00000426,0.00000509,0.00000420,0.00000495,10394153.00000000,47.77730156,7771
1611532800000,2021-01-25 00:00:00,AST/BTC,0.00000436,0.00000500,0.00000416,0.00000425,14209713.00000000,63.51111712,9950
1611446400000,2021-01-24 00:00:00,AST/BTC,0.00000373,0.00000492,0.00000369,0.00000436,23659530.00000000,103.82340958,16105
1611360000000,2021-01-23 00:00:00,AST/BTC,0.00000360,0.00000390,0.00000357,0.00000373,8253213.00000000,30.81707746,5597
1611273600000,2021-01-22 00:00:00,AST/BTC,0.00000371,0.00000372,0.00000326,0.00000360,11554015.00000000,40.19493728,7305
1611187200000,2021-01-21 00:00:00,AST/BTC,0.00000379,0.00000390,0.00000361,0.00000370,8076378.00000000,30.40281218,6341
1611100800000,2021-01-20 00:00:00,AST/BTC,0.00000360,0.00000395,0.00000352,0.00000380,9770397.00000000,36.68934385,7049
1611014400000,2021-01-19 00:00:00,AST/BTC,0.00000353,0.00000374,0.00000334,0.00000360,10384063.00000000,36.94700737,6565
1610928000000,2021-01-18 00:00:00,AST/BTC,0.00000375,0.00000391,0.00000345,0.00000354,10710673.00000000,38.73404392,7184
1610841600000,2021-01-17 00:00:00,AST/BTC,0.00000391,0.00000397,0.00000359,0.00000373,10529343.00000000,39.37860856,7719
1610755200000,2021-01-16 00:00:00,AST/BTC,0.00000413,0.00000418,0.00000370,0.00000391,10631135.00000000,41.50599180,9296
1610668800000,2021-01-15 00:00:00,AST/BTC,0.00000362,0.00000424,0.00000342,0.00000413,18483140.00000000,71.54623242,12077
