https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume BTG,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,BTG/BTC,0.00052600,0.00052600,0.00052400,0.00052500,51.49000000,0.02700466,41
1616108400000,2021-03-18 23:00:00,BTG/BTC,0.00052600,0.00052900,0.00052500,0.00052800,721.32000000,0.37980162,289
1616104800000,2021-03-18 22:00:00,BTG/BTC,0.00052400,0.00052700,0.00052300,0.00052700,424.80000000,0.22310826,278
1616101200000,2021-03-18 21:00:00,BTG/BTC,0.00052800,0.00052900,0.00052400,0.00052500,787.75000000,0.41487274,317
1616097600000,2021-03-18 20:00:00,BTG/BTC,0.00052700,0.00053200,0.00052500,0.00052800,1977.73000000,1.04569321,622
1616094000000,2021-03-18 19:00:00,BTG/BTC,0.00052800,0.00052800,0.00052300,0.00052800,2301.31000000,1.20921863,400
1616090400000,2021-03-18 18:00:00,BTG/BTC,0.00052400,0.00052900,0.00052400,0.00052800,1063.48000000,0.55985411,376
1616086800000,2021-03-18 17:00:00,BTG/BTC,0.00052600,0.00052800,0.00052300,0.00052400,1082.52000000,0.56778664,412
1616083200000,2021-03-18 16:00:00,BTG/BTC,0.00053200,0.00053200,0.00052500,0.00052700,2458.28000000,1.29897688,386
1616079600000,2021-03-18 15:00:00,BTG/BTC,0.00052500,0.00053200,0.00052200,0.00053200,6708.78000000,3.52913904,660
1616076000000,2021-03-18 14:00:00,BTG/BTC,0.00052900,0.00053000,0.00052400,0.00052600,3067.35000000,1.61514569,331
1616072400000,2021-03-18 13:00:00,BTG/BTC,0.00052800,0.00053100,0.00052600,0.00052900,871.84000000,0.46063909,221
1616068800000,2021-03-18 12:00:00,BTG/BTC,0.00052500,0.00053000,0.00052400,0.00052800,1396.83000000,0.73566623,330
1616065200000,2021-03-18 11:00:00,BTG/BTC,0.00052900,0.00053100,0.00052500,0.00052700,1288.62000000,0.68078112,344
1616061600000,2021-03-18 10:00:00,BTG/BTC,0.00052700,0.00053200,0.00052500,0.00053100,2008.77000000,1.06149832,640
1616058000000,2021-03-18 09:00:00,BTG/BTC,0.00052600,0.00052900,0.00052400,0.00052600,1738.08000000,0.91538373,508
1616054400000,2021-03-18 08:00:00,BTG/BTC,0.00052800,0.00053000,0.00052600,0.00052700,621.01000000,0.32771631,230
1616050800000,2021-03-18 07:00:00,BTG/BTC,0.00052700,0.00053000,0.00052500,0.00052700,1063.02000000,0.56134098,400
1616047200000,2021-03-18 06:00:00,BTG/BTC,0.00052200,0.00052900,0.00052200,0.00052700,781.56000000,0.41041130,266
1616043600000,2021-03-18 05:00:00,BTG/BTC,0.00052600,0.00052600,0.00052100,0.00052200,986.59000000,0.51725099,262
1616040000000,2021-03-18 04:00:00,BTG/BTC,0.00052900,0.00052900,0.00052400,0.00052600,988.53000000,0.51989695,288
1616036400000,2021-03-18 03:00:00,BTG/BTC,0.00053100,0.00053200,0.00052500,0.00052900,1427.61000000,0.75429735,369
1616032800000,2021-03-18 02:00:00,BTG/BTC,0.00051800,0.00053900,0.00051800,0.00053200,6060.79000000,3.22115683,1532
1616029200000,2021-03-18 01:00:00,BTG/BTC,0.00052200,0.00052500,0.00051700,0.00051700,2535.77000000,1.31770467,485
1616025600000,2021-03-18 00:00:00,BTG/BTC,0.00053100,0.00053100,0.00051900,0.00052200,3003.00000000,1.57420019,640
1616022000000,2021-03-17 23:00:00,BTG/BTC,0.00053300,0.00053500,0.00053000,0.00053300,1959.72000000,1.04309032,291
1616018400000,2021-03-17 22:00:00,BTG/BTC,0.00053100,0.00053700,0.00053000,0.00053300,1313.70000000,0.70065546,537
1616014800000,2021-03-17 21:00:00,BTG/BTC,0.00052900,0.00053400,0.00052700,0.00053000,2051.20000000,1.08842302,607
1616011200000,2021-03-17 20:00:00,BTG/BTC,0.00053000,0.00053400,0.00052700,0.00052800,2393.73000000,1.26906410,844
1616007600000,2021-03-17 19:00:00,BTG/BTC,0.00053500,0.00053600,0.00052800,0.00053000,2026.17000000,1.07745329,699
1616004000000,2021-03-17 18:00:00,BTG/BTC,0.00053100,0.00053600,0.00052700,0.00053600,2277.55000000,1.20658398,608
1616000400000,2021-03-17 17:00:00,BTG/BTC,0.00053300,0.00053500,0.00052700,0.00053100,2825.60000000,1.49806691,507
1615996800000,2021-03-17 16:00:00,BTG/BTC,0.00053200,0.00053500,0.00053000,0.00053300,1525.29000000,0.81214869,379
1615993200000,2021-03-17 15:00:00,BTG/BTC,0.00053300,0.00053600,0.00053000,0.00053400,1149.97000000,0.61310915,466
1615989600000,2021-03-17 14:00:00,BTG/BTC,0.00053500,0.00053500,0.00053200,0.00053300,1122.94000000,0.59922977,198
1615986000000,2021-03-17 13:00:00,BTG/BTC,0.00053600,0.00053900,0.00053300,0.00053500,1144.20000000,0.61297561,357
1615982400000,2021-03-17 12:00:00,BTG/BTC,0.00053500,0.00053900,0.00053200,0.00053600,2353.96000000,1.26022658,689
