https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume DASH,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,DASH/BTC,0.00392000,0.00392200,0.00390000,0.00390000,57.45200000,0.22486158,35
1616108400000,2021-03-18 23:00:00,DASH/BTC,0.00391600,0.00394600,0.00390400,0.00391700,476.38200000,1.86782476,473
1616104800000,2021-03-18 22:00:00,DASH/BTC,0.00391200,0.00393700,0.00390500,0.00391800,506.43700000,1.98532381,461
1616101200000,2021-03-18 21:00:00,DASH/BTC,0.00393500,0.00394100,0.00390700,0.00391400,848.59200000,3.32745848,496
1616097600000,2021-03-18 20:00:00,DASH/BTC,0.00389900,0.00394200,0.00389000,0.00393800,1149.30700000,4.51014682,737
1616094000000,2021-03-18 19:00:00,DASH/BTC,0.00390200,0.00391700,0.00388600,0.00390000,1038.00300000,4.04814701,885
1616090400000,2021-03-18 18:00:00,DASH/BTC,0.00387100,0.00392300,0.00387100,0.00390500,1006.27300000,3.91663110,796
1616086800000,2021-03-18 17:00:00,DASH/BTC,0.00391600,0.00391900,0.00385700,0.00387000,1269.16500000,4.93757655,926
1616083200000,2021-03-18 16:00:00,DASH/BTC,0.00396600,0.00396900,0.00388000,0.00391500,2145.21400000,8.39587520,1724
1616079600000,2021-03-18 15:00:00,DASH/BTC,0.00391500,0.00407200,0.00390900,0.00396900,6466.29800000,25.93073365,4302
1616076000000,2021-03-18 14:00:00,DASH/BTC,0.00390500,0.00392300,0.00390100,0.00391700,513.71800000,2.00908966,498
1616072400000,2021-03-18 13:00:00,DASH/BTC,0.00391600,0.00392600,0.00389400,0.00390300,902.41900000,3.52682247,582
1616068800000,2021-03-18 12:00:00,DASH/BTC,0.00389900,0.00392800,0.00389400,0.00391300,1513.29900000,5.91787149,810
1616065200000,2021-03-18 11:00:00,DASH/BTC,0.00390100,0.00392400,0.00389000,0.00389800,1739.82100000,6.79786486,699
1616061600000,2021-03-18 10:00:00,DASH/BTC,0.00392500,0.00393800,0.00389200,0.00390200,855.54100000,3.34837664,551
1616058000000,2021-03-18 09:00:00,DASH/BTC,0.00388300,0.00393100,0.00388300,0.00392700,583.58800000,2.28080074,582
1616054400000,2021-03-18 08:00:00,DASH/BTC,0.00388400,0.00390100,0.00387900,0.00388600,940.21900000,3.65718096,472
1616050800000,2021-03-18 07:00:00,DASH/BTC,0.00390400,0.00392100,0.00387700,0.00388300,1383.70800000,5.40045422,765
1616047200000,2021-03-18 06:00:00,DASH/BTC,0.00388900,0.00392100,0.00388800,0.00390100,848.23200000,3.31250977,421
1616043600000,2021-03-18 05:00:00,DASH/BTC,0.00390200,0.00391300,0.00388300,0.00388900,759.43400000,2.95905032,406
1616040000000,2021-03-18 04:00:00,DASH/BTC,0.00391600,0.00391900,0.00389100,0.00390300,1060.94800000,4.14389330,344
1616036400000,2021-03-18 03:00:00,DASH/BTC,0.00392700,0.00395200,0.00390900,0.00391700,909.31600000,3.56740027,426
1616032800000,2021-03-18 02:00:00,DASH/BTC,0.00390700,0.00395300,0.00390200,0.00392500,1569.06800000,6.17103154,940
1616029200000,2021-03-18 01:00:00,DASH/BTC,0.00389200,0.00392000,0.00388100,0.00390500,512.79400000,2.00398948,405
1616025600000,2021-03-18 00:00:00,DASH/BTC,0.00389300,0.00391000,0.00385000,0.00389600,2177.08900000,8.44945355,1334
1616022000000,2021-03-17 23:00:00,DASH/BTC,0.00394300,0.00394500,0.00388900,0.00389300,994.91400000,3.89220706,585
1616018400000,2021-03-17 22:00:00,DASH/BTC,0.00392600,0.00394700,0.00389400,0.00394500,1065.19500000,4.17215241,616
1616014800000,2021-03-17 21:00:00,DASH/BTC,0.00394400,0.00394800,0.00388300,0.00392600,1427.13700000,5.58481410,1019
1616011200000,2021-03-17 20:00:00,DASH/BTC,0.00393300,0.00398400,0.00391900,0.00394300,1567.36100000,6.17817758,799
1616007600000,2021-03-17 19:00:00,DASH/BTC,0.00395500,0.00396900,0.00392100,0.00393900,2089.68500000,8.23625774,1333
1616004000000,2021-03-17 18:00:00,DASH/BTC,0.00405200,0.00405700,0.00394600,0.00395500,2940.01800000,11.77051223,2051
1616000400000,2021-03-17 17:00:00,DASH/BTC,0.00405600,0.00406900,0.00405100,0.00405100,2484.35500000,10.08818247,1097
1615996800000,2021-03-17 16:00:00,DASH/BTC,0.00411100,0.00412000,0.00405300,0.00405700,1607.88800000,6.55324902,1046
1615993200000,2021-03-17 15:00:00,DASH/BTC,0.00411600,0.00412500,0.00408200,0.00411100,1627.76500000,6.69210685,774
1615989600000,2021-03-17 14:00:00,DASH/BTC,0.00405400,0.00415500,0.00405400,0.00412400,2277.39600000,9.37122324,1664
1615986000000,2021-03-17 13:00:00,DASH/BTC,0.00401500,0.00405500,0.00401200,0.00404700,886.91300000,3.58192861,642
1615982400000,2021-03-17 12:00:00,DASH/BTC,0.00401100,0.00401900,0.00399200,0.00401500,608.45800000,2.43741888,530
1615978800000,2021-03-17 11:00:00,DASH/BTC,0.00401600,0.00402100,0.00399600,0.00400900,803.36500000,3.21758157,438
1615975200000,2021-03-17 10:00:00,DASH/BTC,0.00400800,0.00401900,0.00399700,0.00401300,1031.55800000,4.13629918,517
1615971600000,2021-03-17 09:00:00,DASH/BTC,0.00401400,0.00401900,0.00396400,0.00400600,1153.46700000,4.59325956,927
1615968000000,2021-03-17 08:00:00,DASH/BTC,0.00402200,0.00405200,0.00401000,0.00401100,881.69200000,3.54668895,476
1615964400000,2021-03-17 07:00:00,DASH/BTC,0.00404500,0.00405400,0.00401400,0.00401900,809.56500000,3.26117255,484
1615960800000,2021-03-17 06:00:00,DASH/BTC,0.00403800,0.00407600,0.00401600,0.00403900,1708.94600000,6.91251306,1119
1615957200000,2021-03-17 05:00:00,DASH/BTC,0.00400900,0.00404300,0.00400100,0.00404000,667.76800000,2.68256483,667
1615953600000,2021-03-17 04:00:00,DASH/BTC,0.00398400,0.00400900,0.00397400,0.00400700,481.52800000,1.92109459,399
1615950000000,2021-03-17 03:00:00,DASH/BTC,0.00396600,0.00399000,0.00395700,0.00398200,336.33000000,1.33658323,290
1615946400000,2021-03-17 02:00:00,DASH/BTC,0.00395600,0.00396700,0.00394800,0.00396300,391.56500000,1.54955033,256
1615942800000,2021-03-17 01:00:00,DASH/BTC,0.00393100,0.00395900,0.00392700,0.00394800,390.80900000,1.54223947,295
1615939200000,2021-03-17 00:00:00,DASH/BTC,0.00393000,0.00393800,0.00391100,0.00393100,1219.75100000,4.78291240,915
1615935600000,2021-03-16 23:00:00,DASH/BTC,0.00396000,0.00396800,0.00393000,0.00393000,822.66300000,3.25215241,475
1615932000000,2021-03-16 22:00:00,DASH/BTC,0.00395900,0.00397600,0.00394700,0.00396000,640.90600000,2.53837778,396
1615928400000,2021-03-16 21:00:00,DASH/BTC,0.00394800,0.00398400,0.00392300,0.00396400,869.12700000,3.43551300,742
1615924800000,2021-03-16 20:00:00,DASH/BTC,0.00398800,0.00399000,0.00393200,0.00394800,822.95500000,3.25283842,754
1615921200000,2021-03-16 19:00:00,DASH/BTC,0.00396200,0.00399700,0.00395300,0.00398600,1615.17900000,6.42213677,855
1615917600000,2021-03-16 18:00:00,DASH/BTC,0.00394300,0.00396800,0.00394300,0.00396000,693.20000000,2.74445245,426
1615914000000,2021-03-16 17:00:00,DASH/BTC,0.00396800,0.00398800,0.00392900,0.00394300,2538.48600000,10.03660853,1210
1615910400000,2021-03-16 16:00:00,DASH/BTC,0.00401000,0.00402100,0.00394500,0.00396700,2457.87300000,9.76092569,1101
1615906800000,2021-03-16 15:00:00,DASH/BTC,0.00397800,0.00401900,0.00397300,0.00401000,853.88700000,3.40937705,591
1615903200000,2021-03-16 14:00:00,DASH/BTC,0.00396700,0.00397800,0.00395700,0.00397800,1374.06200000,5.45364092,585
1615899600000,2021-03-16 13:00:00,DASH/BTC,0.00397300,0.00398000,0.00395700,0.00396600,1977.70000000,7.84557520,843
1615896000000,2021-03-16 12:00:00,DASH/BTC,0.00396900,0.00399700,0.00396500,0.00397300,676.30100000,2.69146132,477
1615892400000,2021-03-16 11:00:00,DASH/BTC,0.00397100,0.00398400,0.00396300,0.00397200,780.78200000,3.10372244,399
1615888800000,2021-03-16 10:00:00,DASH/BTC,0.00399400,0.00400300,0.00396300,0.00397600,539.17200000,2.14612312,418
