unix,date,symbol,open,high,low,close,Volume EOS,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,EOS/BTC,0.00007190,0.00007210,0.00007190,0.00007190,9192.66000000,0.66174215,97
1616025600000,2021-03-18 00:00:00,EOS/BTC,0.00006950,0.00007300,0.00006890,0.00007190,4133454.10000000,294.55837615,24800
1615939200000,2021-03-17 00:00:00,EOS/BTC,0.00007140,0.00007230,0.00006850,0.00006940,3099728.94000000,219.29062984,22384
1615852800000,2021-03-16 00:00:00,EOS/BTC,0.00006860,0.00007470,0.00006840,0.00007150,5353872.74000000,385.93376351,32878
1615766400000,2021-03-15 00:00:00,EOS/BTC,0.00006660,0.00006900,0.00006540,0.00006850,4971908.73000000,334.72045170,27538
1615680000000,2021-03-14 00:00:00,EOS/BTC,0.00007000,0.00007160,0.00006660,0.00006660,3455669.25000000,236.82533503,22549
1615593600000,2021-03-13 00:00:00,EOS/BTC,0.00006600,0.00007170,0.00006510,0.00007000,4475482.78000000,304.38304278,27466
1615507200000,2021-03-12 00:00:00,EOS/BTC,0.00006850,0.00006980,0.00006560,0.00006600,4433265.61000000,300.10902844,23628
1615420800000,2021-03-11 00:00:00,EOS/BTC,0.00007150,0.00007280,0.00006820,0.00006840,6443497.79000000,452.27519627,28795
1615334400000,2021-03-10 00:00:00,EOS/BTC,0.00007600,0.00007620,0.00007070,0.00007140,3932182.27000000,286.80005283,23900
1615248000000,2021-03-09 00:00:00,EOS/BTC,0.00007440,0.00007650,0.00007220,0.00007590,5121132.62000000,380.29551875,32596
1615161600000,2021-03-08 00:00:00,EOS/BTC,0.00007510,0.00007740,0.00007420,0.00007450,5010847.89000000,379.32411878,28312
1615075200000,2021-03-07 00:00:00,EOS/BTC,0.00007610,0.00007650,0.00007400,0.00007520,2710775.06000000,203.17376477,18515
1614988800000,2021-03-06 00:00:00,EOS/BTC,0.00007570,0.00007760,0.00007550,0.00007620,2570744.57000000,196.97024675,18288
1614902400000,2021-03-05 00:00:00,EOS/BTC,0.00007750,0.00007810,0.00007520,0.00007570,3193545.65000000,245.13164867,23539
1614816000000,2021-03-04 00:00:00,EOS/BTC,0.00007590,0.00007820,0.00007520,0.00007750,4487695.90000000,345.30945090,28948
1614729600000,2021-03-03 00:00:00,EOS/BTC,0.00007570,0.00008120,0.00007440,0.00007600,6109999.96000000,471.81336671,38765
1614643200000,2021-03-02 00:00:00,EOS/BTC,0.00007480,0.00007840,0.00007400,0.00007570,5250100.46000000,397.78267072,28585
1614556800000,2021-03-01 00:00:00,EOS/BTC,0.00007700,0.00007710,0.00007390,0.00007480,3619608.75000000,272.20704398,23523
1614470400000,2021-02-28 00:00:00,EOS/BTC,0.00007970,0.00007980,0.00007510,0.00007700,3647232.02000000,282.00401576,25731
1614384000000,2021-02-27 00:00:00,EOS/BTC,0.00007660,0.00008130,0.00007650,0.00007960,3736213.89000000,295.69721686,30552
1614297600000,2021-02-26 00:00:00,EOS/BTC,0.00007790,0.00007860,0.00007460,0.00007670,4758494.29000000,367.64070952,31594
1614211200000,2021-02-25 00:00:00,EOS/BTC,0.00007840,0.00008020,0.00007610,0.00007790,4787755.09000000,374.62968306,36614
1614124800000,2021-02-24 00:00:00,EOS/BTC,0.00007880,0.00008090,0.00007730,0.00007840,5887339.56000000,465.71691360,38867
1614038400000,2021-02-23 00:00:00,EOS/BTC,0.00008670,0.00008740,0.00007020,0.00007870,15017036.48000000,1184.88830230,88511
1613952000000,2021-02-22 00:00:00,EOS/BTC,0.00008880,0.00009520,0.00008370,0.00008670,12148309.21000000,1074.75019879,81702
1613865600000,2021-02-21 00:00:00,EOS/BTC,0.00008670,0.00009600,0.00008520,0.00008890,6491803.94000000,576.82148911,50885
1613779200000,2021-02-20 00:00:00,EOS/BTC,0.00009350,0.00009890,0.00008250,0.00008670,11548453.73000000,1059.63314703,71346
1613692800000,2021-02-19 00:00:00,EOS/BTC,0.00009340,0.00010200,0.00009090,0.00009360,12937118.33000000,1247.63030240,75271
1613606400000,2021-02-18 00:00:00,EOS/BTC,0.00009300,0.00009550,0.00009140,0.00009340,9242288.28000000,867.33775956,48013
