https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume ETC,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,ETC/BTC,0.00021110,0.00021130,0.00021020,0.00021030,2525.54000000,0.53224567,85
1616025600000,2021-03-18 00:00:00,ETC/BTC,0.00021350,0.00021470,0.00020720,0.00021100,375596.96000000,79.58050448,10766
1615939200000,2021-03-17 00:00:00,ETC/BTC,0.00021820,0.00022120,0.00021080,0.00021330,352870.78000000,76.35023283,13245
1615852800000,2021-03-16 00:00:00,ETC/BTC,0.00021840,0.00022820,0.00021610,0.00021830,554904.36000000,122.76194508,14217
1615766400000,2021-03-15 00:00:00,ETC/BTC,0.00021550,0.00022120,0.00020660,0.00021840,771477.08000000,165.85036882,18693
1615680000000,2021-03-14 00:00:00,ETC/BTC,0.00022510,0.00022970,0.00021520,0.00021570,849984.08000000,188.87265214,22263
1615593600000,2021-03-13 00:00:00,ETC/BTC,0.00020850,0.00023750,0.00020540,0.00022510,959900.31000000,212.01927588,28852
1615507200000,2021-03-12 00:00:00,ETC/BTC,0.00021220,0.00021970,0.00020610,0.00020840,427811.22000000,90.80292573,15797
1615420800000,2021-03-11 00:00:00,ETC/BTC,0.00021420,0.00022410,0.00021030,0.00021200,673911.82000000,146.24592475,19402
1615334400000,2021-03-10 00:00:00,ETC/BTC,0.00022590,0.00022960,0.00021190,0.00021390,554534.91000000,121.74166142,16772
1615248000000,2021-03-09 00:00:00,ETC/BTC,0.00022340,0.00023560,0.00022010,0.00022610,706139.26000000,158.81941070,19154
1615161600000,2021-03-08 00:00:00,ETC/BTC,0.00022630,0.00023190,0.00022100,0.00022340,553869.40000000,125.26115844,15435
1615075200000,2021-03-07 00:00:00,ETC/BTC,0.00022740,0.00023600,0.00022320,0.00022630,561000.63000000,128.69584839,14275
1614988800000,2021-03-06 00:00:00,ETC/BTC,0.00022440,0.00023080,0.00022360,0.00022730,398918.12000000,90.82906828,11332
1614902400000,2021-03-05 00:00:00,ETC/BTC,0.00022780,0.00022880,0.00022230,0.00022440,560728.30000000,126.47811042,14861
1614816000000,2021-03-04 00:00:00,ETC/BTC,0.00022340,0.00023370,0.00022120,0.00022730,404007.36000000,92.20498511,13753
1614729600000,2021-03-03 00:00:00,ETC/BTC,0.00022520,0.00023030,0.00021900,0.00022330,324653.90000000,72.85288712,12393
1614643200000,2021-03-02 00:00:00,ETC/BTC,0.00022370,0.00023460,0.00022090,0.00022510,393113.49000000,89.31103659,14192
1614556800000,2021-03-01 00:00:00,ETC/BTC,0.00022980,0.00023080,0.00021920,0.00022360,338555.46000000,75.83133918,12932
1614470400000,2021-02-28 00:00:00,ETC/BTC,0.00024070,0.00024100,0.00022500,0.00022980,414691.32000000,95.22687068,13558
1614384000000,2021-02-27 00:00:00,ETC/BTC,0.00023170,0.00024290,0.00023130,0.00024060,388826.83000000,92.45171003,12756
1614297600000,2021-02-26 00:00:00,ETC/BTC,0.00023420,0.00023490,0.00022550,0.00023160,424511.65000000,97.57293984,16859
1614211200000,2021-02-25 00:00:00,ETC/BTC,0.00023890,0.00024150,0.00022920,0.00023420,449118.83000000,105.27673854,16037
1614124800000,2021-02-24 00:00:00,ETC/BTC,0.00023250,0.00024490,0.00022950,0.00023900,592054.16000000,141.70280627,22167
1614038400000,2021-02-23 00:00:00,ETC/BTC,0.00025740,0.00025850,0.00020340,0.00023250,1214293.02000000,280.88278676,36529
