https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IOTA,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,IOTA/BTC,0.00002298,0.00002304,0.00002292,0.00002295,6027.00000000,0.13846495,27
1616108400000,2021-03-18 23:00:00,IOTA/BTC,0.00002304,0.00002310,0.00002288,0.00002297,116392.00000000,2.67391764,289
1616104800000,2021-03-18 22:00:00,IOTA/BTC,0.00002295,0.00002309,0.00002285,0.00002305,80422.00000000,1.84970811,316
1616101200000,2021-03-18 21:00:00,IOTA/BTC,0.00002313,0.00002316,0.00002288,0.00002295,119172.00000000,2.74086109,353
1616097600000,2021-03-18 20:00:00,IOTA/BTC,0.00002299,0.00002319,0.00002285,0.00002313,219889.00000000,5.05653533,697
1616094000000,2021-03-18 19:00:00,IOTA/BTC,0.00002275,0.00002312,0.00002270,0.00002300,265535.00000000,6.09249172,786
1616090400000,2021-03-18 18:00:00,IOTA/BTC,0.00002246,0.00002280,0.00002246,0.00002279,285571.00000000,6.47247462,639
1616086800000,2021-03-18 17:00:00,IOTA/BTC,0.00002266,0.00002267,0.00002240,0.00002246,234732.00000000,5.29357818,576
1616083200000,2021-03-18 16:00:00,IOTA/BTC,0.00002247,0.00002270,0.00002228,0.00002267,292637.00000000,6.55861552,1174
1616079600000,2021-03-18 15:00:00,IOTA/BTC,0.00002304,0.00002304,0.00002248,0.00002249,484041.00000000,10.98787007,1207
1616076000000,2021-03-18 14:00:00,IOTA/BTC,0.00002292,0.00002314,0.00002291,0.00002301,187575.00000000,4.30974095,574
1616072400000,2021-03-18 13:00:00,IOTA/BTC,0.00002300,0.00002314,0.00002289,0.00002294,176840.00000000,4.06497139,512
1616068800000,2021-03-18 12:00:00,IOTA/BTC,0.00002292,0.00002308,0.00002287,0.00002303,187170.00000000,4.29955211,532
1616065200000,2021-03-18 11:00:00,IOTA/BTC,0.00002297,0.00002304,0.00002285,0.00002290,160362.00000000,3.68088745,491
1616061600000,2021-03-18 10:00:00,IOTA/BTC,0.00002301,0.00002315,0.00002291,0.00002294,168935.00000000,3.89133597,600
1616058000000,2021-03-18 09:00:00,IOTA/BTC,0.00002305,0.00002306,0.00002287,0.00002301,179505.00000000,4.11759974,460
1616054400000,2021-03-18 08:00:00,IOTA/BTC,0.00002310,0.00002311,0.00002282,0.00002305,206194.00000000,4.73403088,609
