https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume IOTA,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,IOTA/BTC,0.00002298,0.00002304,0.00002292,0.00002293,6166.00000000,0.14165222,28
1616025600000,2021-03-18 00:00:00,IOTA/BTC,0.00002296,0.00002332,0.00002228,0.00002297,5645212.00000000,128.95805258,14072
1615939200000,2021-03-17 00:00:00,IOTA/BTC,0.00002336,0.00002470,0.00002280,0.00002299,5302671.00000000,126.23688473,16941
1615852800000,2021-03-16 00:00:00,IOTA/BTC,0.00002308,0.00002499,0.00002304,0.00002340,6766128.00000000,162.50818415,20718
1615766400000,2021-03-15 00:00:00,IOTA/BTC,0.00002219,0.00002441,0.00002161,0.00002300,7581984.00000000,173.09304341,22228
1615680000000,2021-03-14 00:00:00,IOTA/BTC,0.00002252,0.00002273,0.00002198,0.00002223,3470233.00000000,77.47043919,11260
1615593600000,2021-03-13 00:00:00,IOTA/BTC,0.00002310,0.00002378,0.00002222,0.00002252,5486465.00000000,125.66464578,16671
1615507200000,2021-03-12 00:00:00,IOTA/BTC,0.00002406,0.00002549,0.00002265,0.00002308,9192843.00000000,219.82490950,27369
1615420800000,2021-03-11 00:00:00,IOTA/BTC,0.00002346,0.00002705,0.00002315,0.00002406,15623372.00000000,386.93014005,38858
1615334400000,2021-03-10 00:00:00,IOTA/BTC,0.00002599,0.00002600,0.00002305,0.00002342,6129174.00000000,148.42063825,19054
1615248000000,2021-03-09 00:00:00,IOTA/BTC,0.00002486,0.00002600,0.00002428,0.00002596,6102926.00000000,152.87042873,21911
1615161600000,2021-03-08 00:00:00,IOTA/BTC,0.00002571,0.00002700,0.00002480,0.00002485,5055959.00000000,130.43185995,17923
1615075200000,2021-03-07 00:00:00,IOTA/BTC,0.00002624,0.00002670,0.00002542,0.00002571,5031679.00000000,130.39251288,16994
1614988800000,2021-03-06 00:00:00,IOTA/BTC,0.00002727,0.00002811,0.00002618,0.00002623,6553638.00000000,177.93317446,22525
1614902400000,2021-03-05 00:00:00,IOTA/BTC,0.00002634,0.00003083,0.00002572,0.00002727,25652862.00000000,736.62760963,69611
1614816000000,2021-03-04 00:00:00,IOTA/BTC,0.00002418,0.00002670,0.00002393,0.00002634,12655845.00000000,321.66171017,34615
1614729600000,2021-03-03 00:00:00,IOTA/BTC,0.00002443,0.00002483,0.00002351,0.00002418,4695770.00000000,113.82280478,15210
1614643200000,2021-03-02 00:00:00,IOTA/BTC,0.00002449,0.00002506,0.00002380,0.00002443,7114900.00000000,173.61408310,18567
1614556800000,2021-03-01 00:00:00,IOTA/BTC,0.00002487,0.00002600,0.00002410,0.00002449,6456867.00000000,161.71312624,18905
1614470400000,2021-02-28 00:00:00,IOTA/BTC,0.00002499,0.00002568,0.00002381,0.00002491,6951756.00000000,172.72969592,20904
1614384000000,2021-02-27 00:00:00,IOTA/BTC,0.00002414,0.00002607,0.00002363,0.00002492,8188497.00000000,205.00749477,24433
1614297600000,2021-02-26 00:00:00,IOTA/BTC,0.00002336,0.00002470,0.00002290,0.00002415,7489307.00000000,178.11950138,28545
1614211200000,2021-02-25 00:00:00,IOTA/BTC,0.00002412,0.00002533,0.00002307,0.00002336,10161091.00000000,244.16703657,34303
1614124800000,2021-02-24 00:00:00,IOTA/BTC,0.00002237,0.00002595,0.00002187,0.00002410,16695573.00000000,404.10155712,51246
1614038400000,2021-02-23 00:00:00,IOTA/BTC,0.00002424,0.00002436,0.00001960,0.00002237,24954663.00000000,552.73419323,60873
1613952000000,2021-02-22 00:00:00,IOTA/BTC,0.00002457,0.00002478,0.00002061,0.00002421,19804991.00000000,457.31586830,55809
1613865600000,2021-02-21 00:00:00,IOTA/BTC,0.00002468,0.00002562,0.00002356,0.00002454,7961052.00000000,196.06392321,29378
1613779200000,2021-02-20 00:00:00,IOTA/BTC,0.00002661,0.00002817,0.00002393,0.00002468,13508896.00000000,353.73354535,48603
1613692800000,2021-02-19 00:00:00,IOTA/BTC,0.00002898,0.00003022,0.00002597,0.00002664,18821097.00000000,531.18511944,64869
1613606400000,2021-02-18 00:00:00,IOTA/BTC,0.00002500,0.00003040,0.00002497,0.00002897,23229060.00000000,643.80064528,72445
1613520000000,2021-02-17 00:00:00,IOTA/BTC,0.00002554,0.00002850,0.00002380,0.00002496,13191470.00000000,334.14056619,46491
1613433600000,2021-02-16 00:00:00,IOTA/BTC,0.00002658,0.00002892,0.00002513,0.00002553,19366083.00000000,516.79014196,66041
1613347200000,2021-02-15 00:00:00,IOTA/BTC,0.00002446,0.00002888,0.00002083,0.00002656,29649875.00000000,737.18750717,103612
1613260800000,2021-02-14 00:00:00,IOTA/BTC,0.00002787,0.00002818,0.00002357,0.00002442,17071737.00000000,430.32562904,52556
1613174400000,2021-02-13 00:00:00,IOTA/BTC,0.00002613,0.00002940,0.00002560,0.00002789,19239544.00000000,535.39441964,77054
1613088000000,2021-02-12 00:00:00,IOTA/BTC,0.00002447,0.00002702,0.00002314,0.00002610,23001029.00000000,570.40943312,69485
1613001600000,2021-02-11 00:00:00,IOTA/BTC,0.00001975,0.00002888,0.00001955,0.00002452,82120576.00000000,2064.80179896,186013
1612915200000,2021-02-10 00:00:00,IOTA/BTC,0.00001619,0.00002050,0.00001586,0.00001976,28856105.00000000,509.60930859,59004
1612828800000,2021-02-09 00:00:00,IOTA/BTC,0.00001560,0.00001708,0.00001506,0.00001619,32937730.00000000,523.68180731,56734
1612742400000,2021-02-08 00:00:00,IOTA/BTC,0.00001439,0.00001687,0.00001333,0.00001557,29066369.00000000,441.86675583,48740
1612656000000,2021-02-07 00:00:00,IOTA/BTC,0.00001439,0.00001531,0.00001412,0.00001439,13703310.00000000,200.92402409,28355
1612569600000,2021-02-06 00:00:00,IOTA/BTC,0.00001351,0.00001579,0.00001278,0.00001437,31852370.00000000,455.13894368,56116
1612483200000,2021-02-05 00:00:00,IOTA/BTC,0.00001193,0.00001427,0.00001190,0.00001351,26043272.00000000,342.57054147,43509
1612396800000,2021-02-04 00:00:00,IOTA/BTC,0.00001206,0.00001207,0.00001137,0.00001191,12389863.00000000,144.64579192,16446
1612310400000,2021-02-03 00:00:00,IOTA/BTC,0.00001213,0.00001251,0.00001168,0.00001203,9305225.00000000,112.74811119,13579
1612224000000,2021-02-02 00:00:00,IOTA/BTC,0.00001242,0.00001248,0.00001183,0.00001212,7184592.00000000,87.18941587,11927
1612137600000,2021-02-01 00:00:00,IOTA/BTC,0.00001231,0.00001260,0.00001185,0.00001240,9904533.00000000,121.38885501,16429
1612051200000,2021-01-31 00:00:00,IOTA/BTC,0.00001253,0.00001302,0.00001203,0.00001229,8738235.00000000,109.58653004,14141
1611964800000,2021-01-30 00:00:00,IOTA/BTC,0.00001205,0.00001321,0.00001168,0.00001251,11639151.00000000,143.44109942,18421
1611878400000,2021-01-29 00:00:00,IOTA/BTC,0.00001210,0.00001247,0.00001082,0.00001203,14270018.00000000,165.42960595,25749
1611792000000,2021-01-28 00:00:00,IOTA/BTC,0.00001289,0.00001311,0.00001201,0.00001212,8116469.00000000,102.64275144,11464
1611705600000,2021-01-27 00:00:00,IOTA/BTC,0.00001331,0.00001338,0.00001213,0.00001290,7526695.00000000,97.38081708,10762
1611619200000,2021-01-26 00:00:00,IOTA/BTC,0.00001340,0.00001352,0.00001306,0.00001333,6675421.00000000,88.82852420,10685
1611532800000,2021-01-25 00:00:00,IOTA/BTC,0.00001415,0.00001429,0.00001302,0.00001341,10619805.00000000,144.48380325,15414
1611446400000,2021-01-24 00:00:00,IOTA/BTC,0.00001404,0.00001469,0.00001396,0.00001414,8771511.00000000,125.62586418,13928
1611360000000,2021-01-23 00:00:00,IOTA/BTC,0.00001383,0.00001455,0.00001382,0.00001404,5971672.00000000,84.77814319,12094
1611273600000,2021-01-22 00:00:00,IOTA/BTC,0.00001359,0.00001440,0.00001341,0.00001382,8287820.00000000,115.49144437,17301
1611187200000,2021-01-21 00:00:00,IOTA/BTC,0.00001329,0.00001491,0.00001329,0.00001360,13007754.00000000,181.56042211,24850
1611100800000,2021-01-20 00:00:00,IOTA/BTC,0.00001310,0.00001359,0.00001260,0.00001329,7186716.00000000,94.07667591,15319
1611014400000,2021-01-19 00:00:00,IOTA/BTC,0.00001302,0.00001369,0.00001251,0.00001307,11463177.00000000,149.83064750,18461
1610928000000,2021-01-18 00:00:00,IOTA/BTC,0.00001218,0.00001347,0.00001184,0.00001304,14403879.00000000,184.08451170,22697
1610841600000,2021-01-17 00:00:00,IOTA/BTC,0.00001177,0.00001235,0.00001147,0.00001219,7330681.00000000,86.92858396,13120
1610755200000,2021-01-16 00:00:00,IOTA/BTC,0.00001176,0.00001299,0.00001150,0.00001181,10293533.00000000,122.13337760,16905
1610668800000,2021-01-15 00:00:00,IOTA/BTC,0.00001086,0.00001218,0.00001066,0.00001176,12195832.00000000,138.67396024,19409
1610582400000,2021-01-14 00:00:00,IOTA/BTC,0.00001111,0.00001142,0.00001046,0.00001086,7251803.00000000,79.28192969,13768
1610496000000,2021-01-13 00:00:00,IOTA/BTC,0.00001057,0.00001185,0.00001055,0.00001109,12716467.00000000,143.40445784,19068
1610409600000,2021-01-12 00:00:00,IOTA/BTC,0.00001039,0.00001098,0.00001022,0.00001054,7515846.00000000,79.34496286,10999
1610323200000,2021-01-11 00:00:00,IOTA/BTC,0.00001119,0.00001121,0.00001034,0.00001037,10365188.00000000,111.80997965,17745
1610236800000,2021-01-10 00:00:00,IOTA/BTC,0.00001079,0.00001164,0.00001042,0.00001119,13783775.00000000,150.02318627,20665
1610150400000,2021-01-09 00:00:00,IOTA/BTC,0.00000910,0.00001200,0.00000910,0.00001077,29385505.00000000,318.84231292,38982
1610064000000,2021-01-08 00:00:00,IOTA/BTC,0.00000974,0.00000976,0.00000870,0.00000910,9514527.00000000,87.14614933,12204
1609977600000,2021-01-07 00:00:00,IOTA/BTC,0.00001037,0.00001101,0.00000942,0.00000974,14740827.00000000,150.56754110,22116
