unix,date,symbol,open,high,low,close,Volume NEO,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,NEO/BTC,0.00075700,0.00075900,0.00075100,0.00075100,1280.74000000,0.96988616,201
1616025600000,2021-03-18 00:00:00,NEO/BTC,0.00078700,0.00081200,0.00074600,0.00075700,310352.11000000,240.79523365,22247
1615939200000,2021-03-17 00:00:00,NEO/BTC,0.00071800,0.00082300,0.00071100,0.00078900,639080.18000000,498.34255298,38423
1615852800000,2021-03-16 00:00:00,NEO/BTC,0.00069500,0.00073600,0.00069500,0.00071700,220713.13000000,157.79700875,15874
1615766400000,2021-03-15 00:00:00,NEO/BTC,0.00067000,0.00071700,0.00066300,0.00069500,240351.07000000,164.90198915,16101
1615680000000,2021-03-14 00:00:00,NEO/BTC,0.00068700,0.00069700,0.00066500,0.00067000,179083.41000000,120.80948592,10913
1615593600000,2021-03-13 00:00:00,NEO/BTC,0.00069700,0.00070900,0.00067300,0.00068700,223707.75000000,154.45034554,13955
1615507200000,2021-03-12 00:00:00,NEO/BTC,0.00072600,0.00073300,0.00068600,0.00069600,163866.27000000,116.17590469,11074
1615420800000,2021-03-11 00:00:00,NEO/BTC,0.00073300,0.00074400,0.00071200,0.00072700,214724.20000000,155.55741565,12789
1615334400000,2021-03-10 00:00:00,NEO/BTC,0.00077700,0.00077800,0.00072200,0.00073200,264616.21000000,198.36403979,15689
1615248000000,2021-03-09 00:00:00,NEO/BTC,0.00076700,0.00079200,0.00075100,0.00077600,196676.90000000,151.93819474,14927
1615161600000,2021-03-08 00:00:00,NEO/BTC,0.00077100,0.00078000,0.00075300,0.00076600,195641.33000000,149.55330792,10775
1615075200000,2021-03-07 00:00:00,NEO/BTC,0.00077900,0.00078500,0.00076000,0.00077000,131700.63000000,101.50326228,9178
1614988800000,2021-03-06 00:00:00,NEO/BTC,0.00076800,0.00079100,0.00076500,0.00077900,149725.73000000,117.01703646,8852
1614902400000,2021-03-05 00:00:00,NEO/BTC,0.00078300,0.00079100,0.00076500,0.00076800,191193.24000000,148.65304660,11333
1614816000000,2021-03-04 00:00:00,NEO/BTC,0.00078600,0.00079900,0.00077000,0.00078200,165327.61000000,129.88364233,12803
1614729600000,2021-03-03 00:00:00,NEO/BTC,0.00077900,0.00082100,0.00077500,0.00078800,203827.04000000,161.76386723,15161
1614643200000,2021-03-02 00:00:00,NEO/BTC,0.00076900,0.00079600,0.00076500,0.00078000,184628.33000000,143.61904153,12602
1614556800000,2021-03-01 00:00:00,NEO/BTC,0.00078100,0.00080600,0.00075900,0.00076900,220408.94000000,172.58665445,13776
1614470400000,2021-02-28 00:00:00,NEO/BTC,0.00080900,0.00081000,0.00073700,0.00078100,302426.91000000,232.21772633,18228
1614384000000,2021-02-27 00:00:00,NEO/BTC,0.00081400,0.00083200,0.00079800,0.00080900,196251.42000000,159.38745441,12884
1614297600000,2021-02-26 00:00:00,NEO/BTC,0.00081700,0.00085900,0.00078800,0.00081400,306562.87000000,250.69586483,19485
1614211200000,2021-02-25 00:00:00,NEO/BTC,0.00081800,0.00083800,0.00079800,0.00081700,282149.97000000,231.90317951,16457
1614124800000,2021-02-24 00:00:00,NEO/BTC,0.00079200,0.00086600,0.00078100,0.00081800,436688.31000000,361.45478462,25929
1614038400000,2021-02-23 00:00:00,NEO/BTC,0.00086700,0.00087600,0.00069600,0.00079100,701759.17000000,561.02564423,42995
1613952000000,2021-02-22 00:00:00,NEO/BTC,0.00095500,0.00096400,0.00083300,0.00086800,773713.33000000,688.73932171,53245
1613865600000,2021-02-21 00:00:00,NEO/BTC,0.00078600,0.00096100,0.00077000,0.00095600,1200921.82000000,1074.25297616,71549
1613779200000,2021-02-20 00:00:00,NEO/BTC,0.00085600,0.00089400,0.00075800,0.00078600,420245.23000000,352.94786811,30227
1613692800000,2021-02-19 00:00:00,NEO/BTC,0.00085100,0.00094300,0.00082600,0.00085600,604687.54000000,532.50274176,40060
1613606400000,2021-02-18 00:00:00,NEO/BTC,0.00081800,0.00086500,0.00081500,0.00084900,318091.33000000,266.82887545,21170
1613520000000,2021-02-17 00:00:00,NEO/BTC,0.00083200,0.00085700,0.00078500,0.00081700,366015.18000000,298.88058044,22367
1613433600000,2021-02-16 00:00:00,NEO/BTC,0.00086700,0.00090900,0.00081300,0.00083300,411532.45000000,354.36398829,27148
1613347200000,2021-02-15 00:00:00,NEO/BTC,0.00090600,0.00093300,0.00080000,0.00086800,817970.42000000,718.23200728,51594
1613260800000,2021-02-14 00:00:00,NEO/BTC,0.00090100,0.00096400,0.00082200,0.00090500,980967.11000000,887.39669682,54966
1613174400000,2021-02-13 00:00:00,NEO/BTC,0.00079500,0.00093000,0.00076100,0.00090100,827077.31000000,698.78765284,46022
1613088000000,2021-02-12 00:00:00,NEO/BTC,0.00075700,0.00080600,0.00074600,0.00079200,514883.28000000,398.87993916,30474
1613001600000,2021-02-11 00:00:00,NEO/BTC,0.00074600,0.00085000,0.00074000,0.00075800,897078.40000000,711.52162667,45219
1612915200000,2021-02-10 00:00:00,NEO/BTC,0.00066900,0.00078300,0.00065800,0.00074700,1101536.53000000,794.30486021,58613
1612828800000,2021-02-09 00:00:00,NEO/BTC,0.00059000,0.00068500,0.00056800,0.00066900,781064.78000000,498.70002401,36674
1612742400000,2021-02-08 00:00:00,NEO/BTC,0.00063100,0.00065600,0.00055900,0.00059000,482056.18000000,293.96628844,24192
1612656000000,2021-02-07 00:00:00,NEO/BTC,0.00063400,0.00065900,0.00062000,0.00063200,252590.58000000,160.47892633,14589
1612569600000,2021-02-06 00:00:00,NEO/BTC,0.00068100,0.00068400,0.00059900,0.00063200,383521.96000000,240.75757177,20071
1612483200000,2021-02-05 00:00:00,NEO/BTC,0.00064300,0.00069900,0.00064000,0.00068200,441785.45000000,293.19488919,20766
1612396800000,2021-02-04 00:00:00,NEO/BTC,0.00065500,0.00066300,0.00061800,0.00064300,273545.20000000,174.23075762,16820
1612310400000,2021-02-03 00:00:00,NEO/BTC,0.00066900,0.00068000,0.00064900,0.00065600,283153.91000000,188.39558541,15679
1612224000000,2021-02-02 00:00:00,NEO/BTC,0.00069000,0.00069500,0.00064500,0.00066900,297331.26000000,198.99688818,15286
