unix,date,symbol,open,high,low,close,Volume XLM,Volume BTC,tradecount
1616112000000,2021-03-19 00:00:00,XLM/BTC,0.00000685,0.00000685,0.00000680,0.00000683,210438.00000000,1.43589697,162
1616025600000,2021-03-18 00:00:00,XLM/BTC,0.00000683,0.00000706,0.00000672,0.00000685,37675688.00000000,258.73977619,22457
1615939200000,2021-03-17 00:00:00,XLM/BTC,0.00000695,0.00000722,0.00000676,0.00000683,47839515.00000000,337.44701476,32156
1615852800000,2021-03-16 00:00:00,XLM/BTC,0.00000691,0.00000762,0.00000687,0.00000695,65864667.00000000,470.21095446,37768
1615766400000,2021-03-15 00:00:00,XLM/BTC,0.00000659,0.00000691,0.00000648,0.00000690,45574370.00000000,304.62494379,26786
1615680000000,2021-03-14 00:00:00,XLM/BTC,0.00000665,0.00000668,0.00000648,0.00000659,32415044.00000000,212.67868221,18555
1615593600000,2021-03-13 00:00:00,XLM/BTC,0.00000675,0.00000688,0.00000659,0.00000666,47416173.00000000,319.05856732,25501
1615507200000,2021-03-12 00:00:00,XLM/BTC,0.00000701,0.00000712,0.00000669,0.00000675,43768021.00000000,303.25497952,24011
1615420800000,2021-03-11 00:00:00,XLM/BTC,0.00000732,0.00000773,0.00000698,0.00000702,45237919.00000000,325.31681316,26232
1615334400000,2021-03-10 00:00:00,XLM/BTC,0.00000787,0.00000789,0.00000727,0.00000733,54535414.00000000,409.92073346,29604
1615248000000,2021-03-09 00:00:00,XLM/BTC,0.00000799,0.00000803,0.00000777,0.00000786,46244806.00000000,363.88799787,28456
1615161600000,2021-03-08 00:00:00,XLM/BTC,0.00000809,0.00000833,0.00000792,0.00000799,38379188.00000000,311.29438270,23162
1615075200000,2021-03-07 00:00:00,XLM/BTC,0.00000821,0.00000836,0.00000802,0.00000810,37572600.00000000,307.36586288,23004
1614988800000,2021-03-06 00:00:00,XLM/BTC,0.00000831,0.00000837,0.00000814,0.00000822,24838393.00000000,205.48776315,16740
1614902400000,2021-03-05 00:00:00,XLM/BTC,0.00000852,0.00000855,0.00000821,0.00000830,32602173.00000000,272.74877717,26422
1614816000000,2021-03-04 00:00:00,XLM/BTC,0.00000835,0.00000858,0.00000822,0.00000852,49714086.00000000,418.00095127,33774
1614729600000,2021-03-03 00:00:00,XLM/BTC,0.00000864,0.00000865,0.00000822,0.00000835,45751598.00000000,384.56175776,31362
1614643200000,2021-03-02 00:00:00,XLM/BTC,0.00000869,0.00000886,0.00000839,0.00000865,48605205.00000000,419.03303384,32909
1614556800000,2021-03-01 00:00:00,XLM/BTC,0.00000899,0.00000902,0.00000838,0.00000868,66547747.00000000,578.66587192,39565
1614470400000,2021-02-28 00:00:00,XLM/BTC,0.00000950,0.00000968,0.00000881,0.00000897,100740738.00000000,921.24369567,56451
1614384000000,2021-02-27 00:00:00,XLM/BTC,0.00000865,0.00000996,0.00000846,0.00000951,132659174.00000000,1234.40685804,87063
1614297600000,2021-02-26 00:00:00,XLM/BTC,0.00000808,0.00000866,0.00000792,0.00000865,61649839.00000000,504.85035392,38255
1614211200000,2021-02-25 00:00:00,XLM/BTC,0.00000814,0.00000833,0.00000800,0.00000808,53056952.00000000,433.59502610,32442
1614124800000,2021-02-24 00:00:00,XLM/BTC,0.00000790,0.00000849,0.00000781,0.00000814,71832222.00000000,589.25536029,46289
1614038400000,2021-02-23 00:00:00,XLM/BTC,0.00000856,0.00000859,0.00000685,0.00000790,148158150.00000000,1169.93176952,75490
1613952000000,2021-02-22 00:00:00,XLM/BTC,0.00000864,0.00000947,0.00000798,0.00000857,129797411.00000000,1121.46309585,77983
1613865600000,2021-02-21 00:00:00,XLM/BTC,0.00000870,0.00000886,0.00000845,0.00000864,53252035.00000000,462.08122511,35825
1613779200000,2021-02-20 00:00:00,XLM/BTC,0.00000917,0.00000951,0.00000840,0.00000871,74829232.00000000,683.71716739,57052
1613692800000,2021-02-19 00:00:00,XLM/BTC,0.00000963,0.00000993,0.00000903,0.00000917,60753475.00000000,579.37402409,50044
1613606400000,2021-02-18 00:00:00,XLM/BTC,0.00000954,0.00001001,0.00000949,0.00000963,57451591.00000000,557.32327327,41766
1613520000000,2021-02-17 00:00:00,XLM/BTC,0.00000987,0.00000992,0.00000917,0.00000955,62993528.00000000,602.77628758,49309
1613433600000,2021-02-16 00:00:00,XLM/BTC,0.00001031,0.00001054,0.00000970,0.00000987,63589638.00000000,644.02656401,61245
1613347200000,2021-02-15 00:00:00,XLM/BTC,0.00001061,0.00001113,0.00000926,0.00001032,130466331.00000000,1349.09863365,111807
1613260800000,2021-02-14 00:00:00,XLM/BTC,0.00001198,0.00001214,0.00001022,0.00001060,124751003.00000000,1378.44692366,101801
1613174400000,2021-02-13 00:00:00,XLM/BTC,0.00001117,0.00001270,0.00001089,0.00001196,219552774.00000000,2610.09110897,185204
1613088000000,2021-02-12 00:00:00,XLM/BTC,0.00000951,0.00001134,0.00000930,0.00001117,129862377.00000000,1312.90716257,107642
1613001600000,2021-02-11 00:00:00,XLM/BTC,0.00000926,0.00000984,0.00000904,0.00000950,116150675.00000000,1107.22497306,90768
1612915200000,2021-02-10 00:00:00,XLM/BTC,0.00000862,0.00000960,0.00000841,0.00000926,147420469.00000000,1322.72341929,104324
1612828800000,2021-02-09 00:00:00,XLM/BTC,0.00000856,0.00000876,0.00000824,0.00000862,81156457.00000000,687.89856226,57108
1612742400000,2021-02-08 00:00:00,XLM/BTC,0.00000994,0.00001016,0.00000831,0.00000856,141657704.00000000,1316.57345834,87311
1612656000000,2021-02-07 00:00:00,XLM/BTC,0.00000964,0.00001086,0.00000955,0.00000992,293768846.00000000,2956.64982035,182134
1612569600000,2021-02-06 00:00:00,XLM/BTC,0.00000919,0.00000992,0.00000837,0.00000963,138318072.00000000,1253.86966301,90982
1612483200000,2021-02-05 00:00:00,XLM/BTC,0.00000883,0.00000966,0.00000878,0.00000918,120241648.00000000,1112.41577141,74504
1612396800000,2021-02-04 00:00:00,XLM/BTC,0.00000922,0.00000927,0.00000845,0.00000882,93805754.00000000,826.16201939,57658
1612310400000,2021-02-03 00:00:00,XLM/BTC,0.00000958,0.00000970,0.00000906,0.00000921,79217371.00000000,736.14940197,55436
1612224000000,2021-02-02 00:00:00,XLM/BTC,0.00000965,0.00001049,0.00000906,0.00000958,124888186.00000000,1192.91982420,88876
1612137600000,2021-02-01 00:00:00,XLM/BTC,0.00000928,0.00001088,0.00000901,0.00000965,319192188.00000000,3116.40352227,166998
1612051200000,2021-01-31 00:00:00,XLM/BTC,0.00000958,0.00001011,0.00000902,0.00000927,173442302.00000000,1645.07784857,87411
1611964800000,2021-01-30 00:00:00,XLM/BTC,0.00000857,0.00001082,0.00000836,0.00000957,257050649.00000000,2385.75575774,136045
1611878400000,2021-01-29 00:00:00,XLM/BTC,0.00000879,0.00001160,0.00000745,0.00000856,458136803.00000000,4209.00277225,257616
1611792000000,2021-01-28 00:00:00,XLM/BTC,0.00000783,0.00000899,0.00000774,0.00000879,102172570.00000000,854.59058378,62067
1611705600000,2021-01-27 00:00:00,XLM/BTC,0.00000805,0.00000808,0.00000770,0.00000783,37182755.00000000,293.25285668,21618
1611619200000,2021-01-26 00:00:00,XLM/BTC,0.00000810,0.00000824,0.00000794,0.00000806,32470234.00000000,261.99499998,20493
1611532800000,2021-01-25 00:00:00,XLM/BTC,0.00000841,0.00000849,0.00000784,0.00000810,43806666.00000000,356.01889497,27087
1611446400000,2021-01-24 00:00:00,XLM/BTC,0.00000841,0.00000863,0.00000830,0.00000842,36057771.00000000,305.90726263,25140
1611360000000,2021-01-23 00:00:00,XLM/BTC,0.00000818,0.00000858,0.00000817,0.00000841,35540413.00000000,298.30506724,25543
1611273600000,2021-01-22 00:00:00,XLM/BTC,0.00000815,0.00000858,0.00000773,0.00000817,65498048.00000000,540.57566186,45864
1611187200000,2021-01-21 00:00:00,XLM/BTC,0.00000828,0.00000853,0.00000804,0.00000814,52261010.00000000,437.37892713,35147
1611100800000,2021-01-20 00:00:00,XLM/BTC,0.00000829,0.00000840,0.00000807,0.00000828,44981813.00000000,370.39117529,30184
1611014400000,2021-01-19 00:00:00,XLM/BTC,0.00000833,0.00000876,0.00000813,0.00000829,92284991.00000000,773.98443238,47937
